customer_id,tenure_months,monthly_spend_eur,logins_30d,content_completions_30d,support_tickets_90d,satisfaction_score,payment_delays_12m,days_since_last_activity,plan_type,acquisition_channel,region,churned,churn_probability,risk_band,recommended_action
SP-00233,2,43.85,5,5,1,4.0,0,70,Professional,Referral,United Kingdom,1,0.986647433458754,Critical,Urgent retention call and tailored offer
SP-00808,7,215.45,8,7,1,2.5,3,53,Professional,Organic,Germany,1,0.9758304870316585,Critical,Urgent retention call and tailored offer
SP-00175,42,64.46,3,3,4,3.0,1,40,Basic,Organic,Germany,1,0.9714578670090837,Critical,Urgent retention call and tailored offer
SP-01947,10,112.89,8,1,1,4.2,1,61,Professional,Organic,Germany,1,0.9672303696261334,Critical,Urgent retention call and tailored offer
SP-00262,11,78.1,2,2,4,2.3,1,25,Enterprise,Organic,Germany,1,0.9626326269297802,Critical,Urgent retention call and tailored offer
SP-02068,55,85.37,6,6,5,2.6,1,37,Basic,Referral,Germany,0,0.9554485670558358,Critical,Urgent retention call and tailored offer
SP-00630,22,34.61,8,4,2,2.9,4,28,Professional,Referral,Germany,1,0.9540688067095836,Critical,Urgent retention call and tailored offer
SP-01478,24,47.38,7,1,2,2.7,2,38,Enterprise,Referral,Portugal,1,0.9528098911892756,Critical,Urgent retention call and tailored offer
SP-01854,10,96.09,7,6,4,3.7,0,43,Basic,Referral,United Kingdom,1,0.9517551484886959,Critical,Urgent retention call and tailored offer
SP-01836,9,110.95,8,3,4,3.5,3,26,Basic,Referral,Germany,1,0.950518941821769,Critical,Urgent retention call and tailored offer
SP-00026,39,116.74,4,4,0,1.9,1,42,Basic,Organic,United Kingdom,1,0.9423216695120676,Critical,Urgent retention call and tailored offer
SP-01543,6,80.09,11,5,3,3.1,0,43,Professional,Paid,Germany,1,0.9347338675504124,Critical,Urgent retention call and tailored offer
SP-01924,27,51.91,5,1,2,3.4,1,35,Basic,Organic,Germany,0,0.9315389678704078,Critical,Urgent retention call and tailored offer
SP-00041,10,71.55,7,3,4,3.1,0,33,Enterprise,Referral,United Kingdom,0,0.9294205146634661,Critical,Urgent retention call and tailored offer
SP-01400,18,73.94,8,1,2,2.8,2,26,Basic,Partner,Germany,1,0.9291121263494319,Critical,Urgent retention call and tailored offer
SP-02297,11,75.21,4,4,5,2.4,0,17,Professional,Organic,Portugal,0,0.9283872192207103,Critical,Urgent retention call and tailored offer
SP-01294,1,44.32,12,1,2,3.0,1,30,Basic,Partner,Germany,0,0.9280083925155034,Critical,Urgent retention call and tailored offer
SP-00346,16,51.07,4,6,2,3.7,1,40,Basic,Paid,United Kingdom,1,0.9275800686776967,Critical,Urgent retention call and tailored offer
SP-01536,2,99.49,7,3,0,2.1,1,32,Professional,Organic,Germany,0,0.9262047900713073,Critical,Urgent retention call and tailored offer
SP-00462,9,96.52,8,6,4,3.5,3,24,Professional,Referral,Germany,0,0.9258309499824868,Critical,Urgent retention call and tailored offer
SP-01603,50,82.65,4,6,1,2.2,2,36,Basic,Organic,Germany,1,0.923291434095262,Critical,Urgent retention call and tailored offer
SP-00730,40,103.22,9,3,1,3.4,0,57,Professional,Organic,Germany,1,0.920013644570852,Critical,Urgent retention call and tailored offer
SP-00664,13,100.05,9,6,3,1.6,2,15,Basic,Referral,Germany,0,0.9173643757484866,Critical,Urgent retention call and tailored offer
SP-01684,48,22.65,6,1,1,4.4,3,42,Basic,Organic,Germany,1,0.9100200614530384,Critical,Urgent retention call and tailored offer
SP-02129,4,134.35,3,4,1,1.9,1,23,Professional,Organic,Portugal,1,0.9091371227244447,Critical,Urgent retention call and tailored offer
SP-01436,7,71.51,6,5,1,3.4,1,37,Professional,Organic,United Kingdom,1,0.908168168389653,Critical,Urgent retention call and tailored offer
SP-02016,20,35.45,8,2,1,3.1,1,35,Professional,Organic,Germany,0,0.9071822608678315,Critical,Urgent retention call and tailored offer
SP-00518,4,111.34,7,3,1,3.7,2,34,Basic,Referral,Germany,1,0.9055659505700282,Critical,Urgent retention call and tailored offer
SP-01559,60,62.21,9,3,2,3.3,1,48,Basic,Paid,United Kingdom,0,0.9037635257791192,Critical,Urgent retention call and tailored offer
SP-00890,17,159.55,1,4,2,2.7,3,16,Basic,Organic,United Kingdom,1,0.903492965068858,Critical,Urgent retention call and tailored offer
SP-00738,21,36.53,8,2,2,3.6,0,37,Basic,Organic,United Kingdom,0,0.8991795322481315,Critical,Urgent retention call and tailored offer
SP-02423,7,59.76,5,3,1,3.8,3,25,Basic,Referral,Germany,1,0.8990527180260116,Critical,Urgent retention call and tailored offer
SP-00143,17,52.38,3,4,3,2.0,0,17,Basic,Paid,Portugal,1,0.8963206898501952,Critical,Urgent retention call and tailored offer
SP-00501,7,64.06,10,4,4,2.4,0,18,Basic,Referral,Germany,0,0.8956736516363775,Critical,Urgent retention call and tailored offer
SP-00074,8,68.15,5,2,1,3.7,1,33,Professional,Partner,Germany,0,0.8947655199830307,Critical,Urgent retention call and tailored offer
SP-02484,20,40.81,6,3,1,2.9,0,34,Professional,Organic,United Kingdom,1,0.8934538049294006,Critical,Urgent retention call and tailored offer
SP-01263,27,112.49,7,2,1,3.3,3,29,Basic,Referral,United Kingdom,0,0.8931427548002185,Critical,Urgent retention call and tailored offer
SP-00625,37,70.14,8,3,2,3.7,1,41,Professional,Partner,Germany,1,0.887353651430906,Critical,Urgent retention call and tailored offer
SP-01226,59,176.79,6,2,2,1.0,2,19,Basic,Organic,Germany,1,0.8828160953576735,Critical,Urgent retention call and tailored offer
SP-01683,3,103.89,9,5,2,3.8,0,46,Enterprise,Partner,United Kingdom,1,0.8821123756682585,Critical,Urgent retention call and tailored offer
SP-00606,33,84.01,11,3,2,3.0,0,43,Professional,Organic,Portugal,1,0.8799763014475133,Critical,Urgent retention call and tailored offer
SP-01074,32,54.39,3,4,2,2.8,0,30,Basic,Paid,Germany,0,0.8794089738477895,Critical,Urgent retention call and tailored offer
SP-01864,23,95.04,5,6,0,3.6,3,38,Basic,Paid,Germany,0,0.8780454139438427,Critical,Urgent retention call and tailored offer
SP-00138,2,59.7,4,3,2,2.6,0,17,Professional,Referral,United Kingdom,1,0.8780062218214875,Critical,Urgent retention call and tailored offer
SP-00469,11,58.73,7,1,2,2.7,2,12,Basic,Referral,Germany,0,0.8750617682190105,Critical,Urgent retention call and tailored offer
SP-01117,60,180.98,10,4,5,4.1,1,45,Basic,Referral,Germany,1,0.87434712842583,Critical,Urgent retention call and tailored offer
SP-00656,32,82.15,5,2,1,2.7,0,33,Professional,Organic,United Kingdom,0,0.873529661235478,Critical,Urgent retention call and tailored offer
SP-00641,41,80.37,14,3,2,3.2,1,43,Professional,Referral,Germany,1,0.8719176826173917,Critical,Urgent retention call and tailored offer
SP-00628,23,96.86,7,1,0,2.5,2,24,Basic,Referral,United Kingdom,1,0.8698179217325377,Critical,Urgent retention call and tailored offer
SP-01739,1,81.04,11,1,2,2.8,1,23,Professional,Organic,Portugal,0,0.8697348017763807,Critical,Urgent retention call and tailored offer
SP-00387,5,60.82,5,3,1,2.9,2,18,Professional,Organic,Germany,1,0.8694490301215791,Critical,Urgent retention call and tailored offer
SP-01089,40,42.9,9,2,1,2.9,0,39,Professional,Referral,Germany,0,0.8676073390766759,Critical,Urgent retention call and tailored offer
SP-00083,10,98.32,4,3,1,3.1,1,26,Professional,Organic,United Kingdom,1,0.8674925495487652,Critical,Urgent retention call and tailored offer
SP-01178,12,48.94,7,6,2,1.7,0,20,Professional,Paid,Germany,1,0.8674462691250705,Critical,Urgent retention call and tailored offer
SP-00413,17,95.56,8,6,2,2.3,0,27,Basic,Partner,United Kingdom,0,0.8659548929049854,Critical,Urgent retention call and tailored offer
SP-01334,49,48.44,5,5,1,4.5,0,55,Basic,Referral,Germany,0,0.8654312296387972,Critical,Urgent retention call and tailored offer
SP-00073,28,102.44,3,0,2,4.5,0,41,Professional,Referral,Portugal,1,0.8652716327580284,Critical,Urgent retention call and tailored offer
SP-01221,39,71.59,8,3,5,3.2,0,25,Professional,Organic,Germany,1,0.8646854485216172,Critical,Urgent retention call and tailored offer
SP-00767,37,69.26,7,3,3,4.3,2,38,Enterprise,Referral,United Kingdom,0,0.8630267702607111,Critical,Urgent retention call and tailored offer
SP-00165,26,76.56,8,2,3,1.6,0,21,Enterprise,Organic,Portugal,1,0.8624325725427057,Critical,Urgent retention call and tailored offer
SP-02486,22,95.24,6,4,2,2.2,2,14,Professional,Referral,United Kingdom,1,0.860846572812114,Critical,Urgent retention call and tailored offer
SP-02341,26,74.91,8,0,1,3.1,0,37,Basic,Paid,Portugal,0,0.8603744594917764,Critical,Urgent retention call and tailored offer
SP-00380,16,163.58,4,5,1,2.9,1,32,Professional,Organic,Germany,1,0.8601022119486682,Critical,Urgent retention call and tailored offer
SP-01584,25,42.8,8,4,5,3.2,0,19,Professional,Referral,Germany,1,0.8587744370640966,Critical,Urgent retention call and tailored offer
SP-00981,36,39.02,6,1,1,2.2,0,24,Basic,Referral,Germany,0,0.858569569319217,Critical,Urgent retention call and tailored offer
SP-00961,10,51.89,9,3,3,2.1,0,12,Basic,Referral,United Kingdom,1,0.8574041572362792,Critical,Urgent retention call and tailored offer
SP-00249,48,31.13,7,7,3,3.9,1,41,Professional,Paid,United Kingdom,1,0.8562749797948673,Critical,Urgent retention call and tailored offer
SP-00031,28,72.15,8,4,0,2.7,1,35,Basic,Organic,Germany,0,0.8556070898213208,Critical,Urgent retention call and tailored offer
SP-00534,18,102.13,3,3,4,2.8,1,8,Basic,Organic,United Kingdom,0,0.8534843231837107,Critical,Urgent retention call and tailored offer
SP-00279,4,74.16,8,0,1,4.0,1,31,Professional,Organic,Germany,1,0.8508793635189948,Critical,Urgent retention call and tailored offer
SP-00287,10,136.96,7,4,1,3.2,0,46,Enterprise,Paid,Portugal,0,0.8501298830865416,Critical,Urgent retention call and tailored offer
SP-00045,5,86.51,6,2,1,3.5,1,25,Basic,Partner,United Kingdom,0,0.8480463037339437,Critical,Urgent retention call and tailored offer
SP-00363,14,59.91,10,6,1,3.7,2,35,Professional,Partner,Germany,0,0.8473045640940603,Critical,Urgent retention call and tailored offer
SP-01497,34,96.48,6,2,1,3.9,2,35,Professional,Organic,United Kingdom,0,0.8460505273295662,Critical,Urgent retention call and tailored offer
SP-02401,1,93.56,6,4,3,2.8,0,16,Basic,Organic,Germany,0,0.8451579462585989,Critical,Urgent retention call and tailored offer
SP-01582,13,101.7,8,4,0,1.5,0,24,Professional,Partner,United Kingdom,0,0.8450440417673912,Critical,Urgent retention call and tailored offer
SP-00443,8,94.09,13,2,2,3.6,0,39,Professional,Paid,Germany,0,0.8446331527173149,Critical,Urgent retention call and tailored offer
SP-02008,10,76.61,12,2,1,2.4,3,14,Basic,Partner,Germany,0,0.8446248619257196,Critical,Urgent retention call and tailored offer
SP-01055,5,74.09,6,0,1,2.8,1,17,Basic,Paid,United Kingdom,1,0.8441583067756504,Critical,Urgent retention call and tailored offer
SP-00281,17,164.14,8,5,2,3.6,3,29,Basic,Organic,Portugal,1,0.8441515147340938,Critical,Urgent retention call and tailored offer
SP-00532,10,138.12,4,7,3,2.8,0,26,Basic,Paid,Portugal,1,0.8440199261741287,Critical,Urgent retention call and tailored offer
SP-02193,18,42.63,3,4,4,3.7,2,12,Professional,Organic,Portugal,1,0.843483791042861,Critical,Urgent retention call and tailored offer
SP-00902,3,66.41,6,3,3,2.4,0,9,Basic,Referral,Germany,0,0.842451815433607,Critical,Urgent retention call and tailored offer
SP-02317,6,71.92,4,5,3,3.4,0,20,Basic,Partner,Germany,1,0.8419037995309696,Critical,Urgent retention call and tailored offer
SP-00086,43,24.45,7,3,4,4.3,2,27,Professional,Partner,Portugal,0,0.8415929711532555,Critical,Urgent retention call and tailored offer
SP-00221,8,99.28,8,2,3,2.1,1,7,Professional,Referral,Germany,0,0.839739890165293,Critical,Urgent retention call and tailored offer
SP-00704,11,63.11,5,3,1,3.7,1,27,Basic,Organic,United Kingdom,0,0.8394173485872246,Critical,Urgent retention call and tailored offer
SP-01679,56,98.12,7,3,3,5.0,2,44,Basic,Organic,Germany,1,0.8370772175905705,Critical,Urgent retention call and tailored offer
SP-02092,20,64.77,9,2,3,2.4,1,12,Basic,Organic,Germany,1,0.8368489241492789,Critical,Urgent retention call and tailored offer
SP-02050,40,122.85,12,0,2,2.6,1,29,Basic,Organic,Germany,1,0.8365167981794343,Critical,Urgent retention call and tailored offer
SP-00536,10,124.94,8,3,4,4.5,0,32,Professional,Referral,United Kingdom,1,0.8363767077228237,Critical,Urgent retention call and tailored offer
SP-01328,6,49.85,6,3,0,3.5,0,32,Basic,Referral,United Kingdom,0,0.8352086706056568,Critical,Urgent retention call and tailored offer
SP-02200,11,66.48,11,3,0,3.3,0,41,Basic,Paid,United Kingdom,1,0.8348623141939601,Critical,Urgent retention call and tailored offer
SP-01456,4,62.47,8,3,1,3.1,2,26,Enterprise,Paid,United Kingdom,1,0.8330185668121942,Critical,Urgent retention call and tailored offer
SP-00507,32,103.22,10,4,4,3.6,2,29,Enterprise,Organic,United Kingdom,0,0.8285482954425003,Critical,Urgent retention call and tailored offer
SP-02409,28,41.18,5,4,3,3.7,0,32,Enterprise,Referral,United Kingdom,0,0.8283595679190223,Critical,Urgent retention call and tailored offer
SP-00856,51,121.49,4,5,1,2.3,1,31,Professional,Organic,Germany,0,0.8277848196121432,Critical,Urgent retention call and tailored offer
SP-01740,13,106.29,8,4,0,2.2,2,19,Basic,Referral,United Kingdom,0,0.8266841880677822,Critical,Urgent retention call and tailored offer
SP-00871,28,33.18,4,3,4,2.5,0,8,Professional,Organic,United Kingdom,0,0.8265615225776388,Critical,Urgent retention call and tailored offer
SP-00662,45,41.53,6,3,1,2.5,0,30,Professional,Partner,Germany,0,0.8256252675108187,Critical,Urgent retention call and tailored offer
SP-00687,25,147.39,8,1,1,4.5,0,50,Basic,Organic,Portugal,0,0.8253885772751689,Critical,Urgent retention call and tailored offer
SP-01680,31,116.54,11,6,2,2.1,2,22,Basic,Organic,Germany,0,0.8250676246543382,Critical,Urgent retention call and tailored offer
SP-00150,4,89.39,8,11,0,4.0,2,41,Basic,Referral,United Kingdom,0,0.824054384054385,Critical,Urgent retention call and tailored offer
SP-00248,25,78.96,7,5,1,3.4,0,37,Basic,Referral,Germany,1,0.8232666380166523,Critical,Urgent retention call and tailored offer
SP-00908,11,94.72,10,2,2,2.0,2,6,Basic,Referral,United Kingdom,0,0.8229213205094473,Critical,Urgent retention call and tailored offer
SP-02385,12,44.89,6,1,1,3.5,2,16,Basic,Referral,United Kingdom,0,0.8200975549761537,Critical,Urgent retention call and tailored offer
SP-00460,7,59.98,7,3,1,4.0,3,20,Basic,Referral,Germany,0,0.8198813975583867,Critical,Urgent retention call and tailored offer
SP-02294,45,218.66,11,1,4,3.0,2,25,Professional,Organic,United Kingdom,1,0.8195365707598561,Critical,Urgent retention call and tailored offer
SP-01960,12,78.16,8,2,2,3.1,1,21,Professional,Paid,United Kingdom,1,0.819149661200257,Critical,Urgent retention call and tailored offer
SP-00793,44,64.22,9,2,3,4.0,1,32,Basic,Organic,United Kingdom,0,0.8182279959547054,Critical,Urgent retention call and tailored offer
SP-02038,3,55.24,3,4,0,3.9,1,29,Professional,Organic,Germany,0,0.8169335327867521,Critical,Urgent retention call and tailored offer
SP-00285,27,88.03,11,4,2,4.0,2,33,Basic,Organic,United Kingdom,0,0.8140052399592246,Critical,Urgent retention call and tailored offer
SP-02052,19,97.3,5,3,2,2.6,2,10,Basic,Organic,Germany,1,0.8137227348277327,Critical,Urgent retention call and tailored offer
SP-00033,6,65.46,8,4,4,1.5,0,4,Enterprise,Referral,Germany,0,0.8135023758708655,Critical,Urgent retention call and tailored offer
SP-00769,9,71.58,3,2,2,4.1,2,16,Basic,Organic,Germany,1,0.8128322401947837,Critical,Urgent retention call and tailored offer
