customer_id,tenure_months,monthly_spend_eur,logins_30d,content_completions_30d,support_tickets_90d,satisfaction_score,payment_delays_12m,days_since_last_activity,plan_type,acquisition_channel,region,churned
SP-00001,6,26.61,15,6,2,4.2,2,11,Basic,Partner,Germany,0
SP-00002,47,38.17,10,5,2,4.2,1,19,Professional,Organic,Portugal,0
SP-00003,40,50.28,12,3,0,4.5,1,11,Basic,Paid,United Kingdom,0
SP-00004,27,83.04,7,3,0,3.8,2,14,Professional,Paid,Germany,0
SP-00005,26,100.18,8,5,3,2.8,2,6,Professional,Organic,Germany,0
SP-00006,52,57.33,2,0,0,4.7,0,17,Professional,Paid,Portugal,0
SP-00007,6,113.71,6,5,0,3.2,2,10,Basic,Paid,United Kingdom,0
SP-00008,42,106.34,10,3,3,3.2,0,15,Professional,Organic,United Kingdom,0
SP-00009,13,66.9,3,4,4,3.4,0,9,Basic,Organic,Portugal,0
SP-00010,6,50.54,7,7,1,2.4,1,9,Enterprise,Partner,Portugal,0
SP-00011,32,31.01,10,6,3,3.6,0,9,Basic,Partner,Germany,0
SP-00012,59,96.83,11,5,1,4.3,1,13,Basic,Referral,United Kingdom,0
SP-00013,45,85.55,12,4,2,3.5,1,19,Basic,Organic,United Kingdom,0
SP-00014,46,108.85,7,5,3,4.9,0,19,Enterprise,Organic,Portugal,0
SP-00015,44,140.29,9,2,3,4.8,3,19,Basic,Organic,United Kingdom,1
SP-00016,48,162.82,6,5,1,4.5,1,14,Basic,Paid,United Kingdom,0
SP-00017,31,128.52,9,6,1,2.3,0,8,Basic,Paid,Germany,0
SP-00018,8,71.01,6,0,1,4.9,0,1,Enterprise,Paid,Germany,0
SP-00019,51,78.7,9,5,3,3.6,0,19,Basic,Partner,United Kingdom,1
SP-00020,28,124.76,5,2,1,5.0,1,13,Enterprise,Organic,Germany,0
SP-00021,31,60.03,6,1,1,3.3,1,7,Enterprise,Referral,United Kingdom,0
SP-00022,23,61.95,10,5,1,3.7,0,11,Professional,Organic,United Kingdom,0
SP-00023,11,115.77,7,5,2,3.9,2,20,Basic,Paid,Portugal,0
SP-00024,56,166.12,7,1,0,3.1,0,5,Enterprise,Paid,United Kingdom,0
SP-00025,47,126.3,18,4,0,2.5,0,28,Basic,Partner,United Kingdom,1
SP-00026,39,116.74,4,4,0,1.9,1,42,Basic,Organic,United Kingdom,1
SP-00027,25,82.86,11,4,2,5.0,2,8,Professional,Partner,Portugal,0
SP-00028,50,59.0,3,2,1,2.5,0,9,Professional,Referral,Germany,0
SP-00029,33,110.25,5,1,1,2.5,1,10,Enterprise,Organic,United Kingdom,0
SP-00030,27,154.41,4,4,1,4.3,0,8,Enterprise,Paid,Portugal,0
SP-00031,28,72.15,8,4,0,2.7,1,35,Basic,Organic,Germany,0
SP-00032,14,64.78,6,0,0,2.5,2,10,Basic,Paid,United Kingdom,1
